GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
projectPOO1,TP1,TShirt.Padrao,0,34,0,0,0,4,0,1,0,1
projectPOO1,TP1,Transportadoras,55,292,12,22,10,73,10,28,1,20
projectPOO1,TP1,Sapatilhas,4,277,8,16,1,66,8,21,0,17
projectPOO1,TP1,Encomenda.Dimensao_Embalagem,0,34,0,0,0,4,0,1,0,1
projectPOO1,TP1,ViewMain,230,0,0,0,40,0,12,0,12,0
projectPOO1,TP1,ControladorArtigo,520,0,23,0,112,0,18,0,5,0
projectPOO1,TP1,Artigo,8,393,12,16,4,101,13,29,1,27
projectPOO1,TP1,Apresentacao,89,0,0,0,37,0,17,0,17,0
projectPOO1,TP1,Artigo.Avaliação,0,34,0,0,0,4,0,1,0,1
projectPOO1,TP1,ControladorEncomenda,360,0,35,0,86,0,29,0,10,0
projectPOO1,TP1,Malas.Tipos_Malas,0,24,0,0,0,3,0,1,0,1
projectPOO1,TP1,Malas,83,171,10,12,12,45,11,15,1,14
projectPOO1,TP1,Sapatilhas.Tipos_Sapatilhas,0,24,0,0,0,3,0,1,0,1
projectPOO1,TP1,Estados,47,0,0,0,16,0,3,0,3,0
projectPOO1,TP1,ControladorTransportadoras,109,0,2,0,24,0,5,0,4,0
projectPOO1,TP1,Controlador,582,0,55,0,137,0,42,0,4,0
projectPOO1,TP1,Utilizador,139,527,35,23,26,119,26,42,3,36
projectPOO1,TP1,Vintage,847,326,88,24,150,62,80,27,33,18
projectPOO1,TP1,Artigo.Estado,0,24,0,0,0,3,0,1,0,1
projectPOO1,TP1,Input,189,0,18,0,55,0,16,0,7,0
projectPOO1,TP1,ControladorUtilizador,172,0,12,0,37,0,11,0,4,0
projectPOO1,TP1,Output,272,0,24,0,61,0,22,0,10,0
projectPOO1,TP1,TShirt.Tamanho,0,44,0,0,0,5,0,1,0,1
projectPOO1,TP1,ViewLogin,24,0,0,0,5,0,2,0,2,0
projectPOO1,TP1,TShirt,43,109,5,11,7,29,6,13,1,10
projectPOO1,TP1,Encomenda.Estado_Encomenda,0,44,0,0,0,5,0,1,0,1
projectPOO1,TP1,VintageAPP,20,0,0,0,6,0,2,0,2,0
projectPOO1,TP1,Encomenda,170,388,18,26,20,98,18,33,2,27
